iter	Passed	Remaining
0	0	68
1	1	56
2	1	50
3	1	45
4	2	43
5	2	42
6	3	42
7	3	41
8	4	41
9	4	40
10	4	40
11	5	40
12	6	40
13	6	39
14	6	39
15	7	38
16	7	38
17	8	38
18	8	37
19	9	37
20	9	36
21	10	36
22	10	35
23	11	35
24	11	34
25	12	34
26	12	33
27	12	33
28	13	32
29	13	32
30	14	31
31	14	31
32	15	30
33	15	30
34	15	29
35	16	29
36	16	28
37	17	28
38	17	27
39	18	27
40	18	26
41	18	25
42	19	25
43	19	25
44	20	24
45	20	24
46	20	23
47	21	23
48	21	22
49	22	22
50	22	21
51	23	21
52	23	20
53	24	20
54	24	19
55	24	19
56	25	19
57	25	18
58	26	18
59	26	17
60	26	17
61	27	16
62	27	16
63	28	15
64	28	15
65	29	15
66	29	14
67	30	14
68	30	13
69	30	13
70	31	12
71	31	12
72	32	11
73	32	11
74	33	11
75	33	10
76	34	10
77	34	9
78	35	9
79	35	8
80	35	8
81	36	7
82	36	7
83	37	7
84	37	6
85	38	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	44	0
